Names,Scores
Michael,10
Ryan,59
Grace,56
HughO,20
Sam,44
Sam,96
Michael,46
Courtney,75
Sam,40
Chris,74
HughJ,100
Chris,48
Sam,72
HughO,22
Justin,65
Grace,87
Justin,82
Michael,61
Chris,6
Justin,7
HughJ,99
Michael,35
HughJ,20
HughO,54
HughO,70
Ryan,96
Kyle,65
HughO,5
HughO,72
HughJ,63
Justin,45
Tyler,86
Michael,1
HughO,40
Courtney,99
Chris,97
Ryan,76
Michael,57
HughO,23
Courtney,89
Justin,10
Michael,83
Grace,95
Chris,20
Grace,89
Courtney,57
Sam,90
HughJ,95
Kyle,29
Ryan,89
Grace,22
Sam,31
HughO,76
Michael,45
Chris,32
Kyle,83
Courtney,100
Ryan,95
Michael,3
Ryan,1
HughJ,68
Courtney,90
HughJ,29
Courtney,92
Sam,94
Michael,75
Michael,3
HughJ,6
HughO,7
Kyle,0
Justin,34
Grace,92
Kyle,52
Chris,34
HughJ,60
Michael,47
HughJ,16
Kyle,28
Courtney,33
HughO,14
Grace,69
HughO,6
Tyler,37
HughO,45
Kyle,36
Ryan,68
Grace,76
Kyle,17
Grace,82
Courtney,99
HughJ,100
HughJ,41
Ryan,24
Sam,77
Grace,57
Ryan,54
Kyle,46
Sam,57
Kyle,34
Justin,63
Justin,13
Tyler,49
Ryan,42
Michael,5
Justin,16
Grace,47
Kyle,63
Courtney,29
Tyler,70
Tyler,68
HughJ,57
HughJ,70
Chris,33
HughO,36
Chris,20
Ryan,72
Justin,32
HughJ,88
Courtney,36
Michael,73
Courtney,92
Sam,58
Tyler,33
Courtney,18
Kyle,29
Michael,26
Chris,96
Tyler,90
Michael,81
Kyle,49
Michael,53
Ryan,6
Tyler,75
Chris,67
Sam,53
Kyle,48
Courtney,84
HughO,43
HughJ,2
Grace,72
Michael,59
Kyle,57
Justin,64
Kyle,1
Grace,74
Tyler,3
Courtney,57
Kyle,26
Courtney,71
Kyle,51
Tyler,47
Courtney,81
HughJ,87
Justin,62
HughO,38
Ryan,10
Sam,93
Kyle,19
HughO,8
Justin,11
Courtney,21
Ryan,39
Grace,69
Grace,58
Kyle,17
HughO,95
Grace,38
Courtney,39
HughO,28
Justin,95
HughJ,62
Chris,80
Ryan,99
Grace,67
Kyle,65
Grace,77
Courtney,87
Justin,45
HughO,69
Michael,8
HughO,64
Chris,61
Kyle,51
Michael,90
Grace,39
Ryan,1
HughO,49
Sam,65
Ryan,27
Sam,89
Courtney,45
HughJ,62
Chris,36
Ryan,99
Tyler,85
Courtney,34
Ryan,43
Grace,71
Ryan,87
Ryan,10
Courtney,57
HughJ,37
HughO,72
Grace,92
HughO,73
Michael,45
Kyle,6
Grace,67
Ryan,93
Grace,73
Michael,40
Chris,49
Kyle,72
Ryan,64
HughJ,58
Chris,73
Justin,98
Courtney,44
Ryan,73
Sam,47
Courtney,32
Grace,24
Ryan,98
Chris,16
Michael,72
Tyler,99
HughO,85
Justin,57
Chris,58
Grace,53
HughJ,68
Sam,25
Kyle,43
HughO,93
Kyle,43
HughJ,55
Ryan,59
Michael,86
Sam,28
HughO,57
Michael,59
Kyle,92
Justin,78
Chris,8
Michael,40
HughO,9
HughJ,89
HughO,2
Grace,69
Courtney,56
Tyler,66
Grace,8
Chris,72
Tyler,43
HughJ,47
Justin,22
Michael,89
Justin,60
Kyle,33
Tyler,75
Chris,72
HughJ,44
Justin,15
Ryan,0
Tyler,62
Sam,1
Ryan,2
Ryan,84
Justin,33
HughJ,43
Tyler,97
Tyler,72
Michael,34
Grace,76
Kyle,50
Justin,20
Sam,37
Kyle,56
Chris,59
HughJ,87
Courtney,82
Justin,47
HughJ,25
Justin,62
HughO,44
Tyler,88
Chris,63
Ryan,11
Tyler,55
Courtney,36
Tyler,83
HughO,31
Ryan,77
Justin,97
Chris,0
Chris,9
Chris,82
HughJ,41
Sam,18
Kyle,38
Chris,13
Tyler,44
Grace,97
Ryan,1
HughJ,63
Ryan,78
Grace,85
Kyle,96
Ryan,19
Michael,34
Tyler,71
Grace,82
Tyler,98
Justin,12
Sam,83
Tyler,73
Grace,98
Sam,8
Michael,10
Tyler,68
Justin,12
HughJ,44
Courtney,36
HughJ,95
Grace,84
Justin,59
Courtney,14
Justin,29
Michael,41
Michael,27
Michael,4
Tyler,18
Grace,21
Kyle,78
Sam,87
Kyle,26
Ryan,19
Kyle,63
Tyler,43
Tyler,28
Michael,6
Grace,86
Courtney,4
Grace,50
Courtney,82
Kyle,9
Sam,48
